GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",1737034,1468749,745973,698171,91498,198908,110848,296917,24605,1163,2482,20960,268285,118436,149849
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",5530,4210,2039,2076,260,567,317,932,95,12,43,40,1320,423,897
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7345,5802,3191,2512,368,613,390,1141,99,0,0,99,1543,675,868
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2485,2074,1092,944,96,284,134,430,38,0,0,38,411,229,182
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",4734,3648,1859,1725,193,535,253,744,64,8,0,56,1086,546,540
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4582,3855,2056,1701,231,662,175,633,98,10,0,88,727,402,325
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3296,2940,1711,1216,241,341,164,470,13,0,0,13,356,279,77
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",7361,5431,2798,2566,458,791,379,938,67,0,0,67,1930,946,984
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4189,3328,1512,1765,278,501,229,757,51,0,0,51,861,385,476
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2600,2199,1171,976,143,365,156,312,52,0,3,49,401,294,107
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",2034,1823,943,862,144,312,100,306,18,0,0,18,211,102,109
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1737,1480,740,711,93,249,115,254,29,0,7,22,257,136,121
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2337,2086,1063,978,148,311,87,432,45,0,16,29,251,179,72
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",6116,4327,2131,2109,225,654,250,980,87,0,22,65,1789,585,1204
