GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",1312830,1220273,609659,594656,83251,182444,78827,250134,15958,728,487,14743,92557,38036,54521
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3514,3169,1550,1592,217,406,231,738,27,0,15,12,345,142,203
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",5176,4739,2561,2111,309,574,306,922,67,0,0,67,437,192,245
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1845,1724,864,840,96,263,94,387,20,0,0,20,121,53,68
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3419,3110,1544,1526,193,502,203,628,40,0,0,40,309,130,179
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",3665,3370,1793,1498,222,628,165,483,79,0,0,79,295,202,93
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2936,2721,1565,1143,226,314,159,444,13,0,0,13,215,182,33
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",4923,4428,2230,2152,339,728,307,778,46,0,0,46,495,242,253
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2808,2638,1197,1416,217,465,163,571,25,0,0,25,170,72,98
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2006,1877,948,891,136,355,119,281,38,0,0,38,129,99,30
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1862,1710,904,792,132,299,86,275,14,0,0,14,152,68,84
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1264,1206,606,584,53,232,90,209,16,0,7,9,58,18,40
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",1872,1760,853,892,132,301,81,378,15,0,0,15,112,64,48
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",4052,3596,1716,1857,218,639,197,803,23,0,0,23,456,191,265
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",2859,2487,1312,1060,223,316,162,359,115,0,9,106,372,133,239
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",3817,3582,2054,1517,240,457,158,662,11,0,0,11,235,162,73
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2213,1937,1113,799,180,217,124,278,25,0,0,25,276,191,85
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",3534,3212,1984,1216,214,445,157,400,12,0,0,12,322,226,96
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",5537,5146,2332,2721,397,814,370,1140,93,0,0,93,391,211,180
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",2872,2709,1291,1349,182,429,156,582,69,9,0,60,163,90,73
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",2727,2521,1349,1131,173,408,139,411,41,0,0,41,206,132,74
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",2571,2425,1027,1383,254,366,202,561,15,0,0,15,146,103,43
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",3024,2891,1476,1351,223,422,136,570,64,0,13,51,133,83,50
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",4484,4199,1999,2104,384,798,210,712,96,0,0,96,285,200,85
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",2351,2204,1089,1072,211,319,173,369,43,0,0,43,147,34,113
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",2132,1983,927,1018,185,275,156,402,38,8,0,30,149,35,114
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",3955,3766,1806,1915,404,488,323,700,45,0,0,45,189,87,102
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",4260,4062,2108,1915,461,532,239,683,39,0,0,39,198,142,56
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",3783,3621,1579,1982,329,573,273,807,60,0,6,54,162,64,98
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",3571,3458,1728,1661,317,419,235,690,69,0,0,69,113,64,49
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",4676,4324,2051,2193,374,694,264,861,80,0,0,80,352,160,192
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",5607,5367,2891,2383,373,834,286,890,93,0,0,93,240,152,88
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",6476,6015,3080,2890,586,956,394,954,45,0,0,45,461,192,269
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",4979,4651,1879,2675,383,867,467,958,97,0,0,97,328,193,135
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",2838,2710,1284,1374,284,438,149,503,52,0,8,44,128,33,95
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",3291,3109,1307,1756,382,594,175,605,46,0,0,46,182,116,66
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",4142,3885,1570,2240,341,770,278,851,75,0,0,75,257,109,148
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",1746,1597,733,840,165,342,103,230,24,5,0,19,149,75,74
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",2165,2001,1043,926,243,195,143,345,32,0,0,32,164,108,56
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",2062,1849,852,984,184,332,88,380,13,0,0,13,213,86,127
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",6516,6104,3263,2751,553,696,508,994,90,7,0,83,412,172,240
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",6175,5766,2601,3010,624,810,480,1096,155,0,0,155,409,182,227
1400000US53033004300,53033004300,"Census Tract 43, King County, Washington",4867,4435,2193,2145,415,497,309,924,97,2,0,95,432,137,295
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",4550,4199,1570,2542,367,631,396,1148,87,0,0,87,351,89,262
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",1975,1837,669,1119,250,331,184,354,49,4,13,32,138,61,77
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",2831,2614,1205,1376,276,438,158,504,33,0,0,33,217,85,132
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",4098,3875,1765,2059,301,648,385,725,51,0,0,51,223,97,126
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",3869,3699,1502,2138,503,650,253,732,59,16,0,43,170,61,109
