GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",91538,80744,37093,42556,3455,8162,22829,8110,1095,66,60,969,10794,3414,7380
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",590,373,200,165,16,90,39,20,8,0,0,8,217,37,180
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",350,260,81,179,59,17,54,49,0,0,0,0,90,41,49
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",140,132,75,57,0,21,36,0,0,0,0,0,8,0,8
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",141,44,17,27,0,0,12,15,0,0,0,0,97,64,33
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",191,67,28,39,9,0,0,30,0,0,0,0,124,43,81
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",21,21,8,13,0,0,5,8,0,0,0,0,0,0,0
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",281,233,88,145,85,24,24,12,0,0,0,0,48,0,48
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",232,155,63,92,14,28,44,6,0,0,0,0,77,18,59
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",96,83,33,50,7,6,37,0,0,0,0,0,13,13,0
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",15,15,0,15,7,0,8,0,0,0,0,0,0,0,0
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",60,60,19,41,0,0,25,16,0,0,0,0,0,0,0
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",77,59,27,23,0,0,6,17,9,0,0,9,18,8,10
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",424,234,119,89,0,7,46,36,26,0,0,26,190,62,128
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",188,103,33,60,27,7,16,10,10,0,0,10,85,11,74
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",173,131,63,63,9,0,38,16,5,0,0,5,42,0,42
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",57,57,15,42,0,32,10,0,0,0,0,0,0,0,0
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",230,171,81,90,21,23,46,0,0,0,0,0,59,21,38
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",229,118,80,38,0,15,15,8,0,0,0,0,111,45,66
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",52,52,2,50,0,17,33,0,0,0,0,0,0,0,0
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",99,83,39,44,0,7,37,0,0,0,0,0,16,0,16
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",109,80,34,46,10,22,7,7,0,0,0,0,29,23,6
