GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",15728,14857,8139,6513,263,1303,794,4153,205,14,0,191,871,338,533
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",82,82,39,43,0,21,0,22,0,0,0,0,0,0,0
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",43,43,5,38,0,0,0,38,0,0,0,0,0,0,0
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",14,14,0,14,0,0,0,14,0,0,0,0,0,0,0
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",67,67,16,51,0,9,0,42,0,0,0,0,0,0,0
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",18,18,0,18,0,13,0,5,0,0,0,0,0,0,0
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",58,38,30,0,0,0,0,0,8,0,0,8,20,0,20
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",45,38,28,10,0,0,0,10,0,0,0,0,7,7,0
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",22,22,17,5,0,0,0,5,0,0,0,0,0,0,0
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",12,12,4,8,0,8,0,0,0,0,0,0,0,0,0
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",23,23,7,16,16,0,0,0,0,0,0,0,0,0,0
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",58,58,35,23,0,0,0,23,0,0,0,0,0,0,0
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",39,39,29,10,0,0,0,10,0,0,0,0,0,0,0
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",18,18,0,18,0,0,0,18,0,0,0,0,0,0,0
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",8,8,0,8,0,0,0,8,0,0,0,0,0,0,0
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",97,81,35,46,0,0,0,46,0,0,0,0,16,7,9
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",39,34,14,20,4,0,0,16,0,0,0,0,5,5,0
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",13,13,13,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",5,0,0,0,0,0,0,0,0,0,0,0,5,5,0
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",11,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",17,7,7,0,0,0,0,0,0,0,0,0,10,0,10
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",12,12,0,12,0,7,0,5,0,0,0,0,0,0,0
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",20,20,6,14,0,0,0,14,0,0,0,0,0,0,0
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",42,42,10,32,0,0,0,32,0,0,0,0,0,0,0
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",93,93,75,18,0,9,9,0,0,0,0,0,0,0,0
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",10,10,5,5,0,0,0,5,0,0,0,0,0,0,0
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",13,13,0,13,0,7,6,0,0,0,0,0,0,0,0
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",72,72,30,42,0,0,0,42,0,0,0,0,0,0,0
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",77,77,52,25,0,10,7,8,0,0,0,0,0,0,0
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",45,45,41,4,0,0,0,4,0,0,0,0,0,0,0
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",114,107,35,72,0,22,0,50,0,0,0,0,7,7,0
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",28,21,14,7,0,0,0,7,0,0,0,0,7,0,7
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",17,17,4,13,0,5,8,0,0,0,0,0,0,0,0
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",20,20,7,13,0,0,0,13,0,0,0,0,0,0,0
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",40,40,33,7,0,7,0,0,0,0,0,0,0,0,0
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004300,53033004300,"Census Tract 43, King County, Washington",8,8,0,8,0,0,0,8,0,0,0,0,0,0,0
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",15,15,10,5,0,5,0,0,0,0,0,0,0,0,0
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",6,0,0,0,0,0,0,0,0,0,0,0,6,6,0
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",33,33,12,21,10,0,0,11,0,0,0,0,0,0,0
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",49,49,21,28,0,13,0,15,0,0,0,0,0,0,0
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",51,51,31,14,0,8,0,6,6,0,0,6,0,0,0
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
