GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",187788,62156,40134,19200,1733,2312,2430,12725,2822,0,333,2489,125632,65954,59678
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",627,133,50,68,8,23,0,37,15,0,0,15,494,178,316
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",1198,385,297,73,0,0,12,61,15,0,0,15,813,406,407
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",302,62,34,16,0,0,0,16,12,0,0,12,240,134,106
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",669,124,72,46,0,0,16,30,6,0,0,6,545,292,253
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",392,171,144,18,0,0,0,18,9,0,0,9,221,139,82
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",176,46,38,8,0,0,0,8,0,0,0,0,130,86,44
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",1416,339,260,66,0,6,6,54,13,0,0,13,1077,596,481
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",702,224,111,87,6,0,16,65,26,0,0,26,478,277,201
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",341,136,101,26,0,0,0,26,9,0,3,6,205,155,50
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",93,43,16,27,5,0,0,22,0,0,0,0,50,34,16
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",229,61,43,11,0,0,0,11,7,0,0,7,168,99,69
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",258,137,95,42,9,5,0,28,0,0,0,0,121,107,14
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",1010,164,56,101,0,8,0,93,7,0,7,0,846,236,610
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",657,164,99,31,0,0,0,31,34,0,23,11,493,187,306
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",359,90,55,16,0,0,9,7,19,0,0,19,269,183,86
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",58,17,0,11,5,6,0,0,6,0,0,6,41,0,41
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",242,119,88,31,0,0,5,26,0,0,0,0,123,60,63
1400000US53033001700,53033001700,"Census Tract 17, King County, Washington",966,260,175,68,0,17,8,43,17,0,0,17,706,433,273
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",444,145,87,58,9,16,6,27,0,0,0,0,299,124,175
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",406,179,131,41,0,7,6,28,7,0,0,7,227,130,97
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",165,30,14,16,0,16,0,0,0,0,0,0,135,71,64
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",335,97,62,30,9,0,0,21,5,0,5,0,238,181,57
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",574,168,110,58,20,0,0,38,0,0,0,0,406,298,108
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",239,37,17,20,12,0,0,8,0,0,0,0,202,64,138
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",158,65,16,42,12,0,11,19,7,0,0,7,93,63,30
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",252,112,49,59,0,0,6,53,4,0,0,4,140,56,84
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",274,135,70,54,0,13,25,16,11,0,0,11,139,103,36
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",244,70,19,51,6,7,8,30,0,0,0,0,174,114,60
