GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",76641,62826,37968,22511,1942,3667,3914,12988,2347,87,170,2090,13815,5056,8759
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",318,262,142,120,19,27,22,52,0,0,0,0,56,18,38
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",444,306,210,79,0,20,18,41,17,0,0,17,138,20,118
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",157,115,105,10,0,0,0,10,0,0,0,0,42,42,0
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",305,201,123,70,0,24,10,36,8,8,0,0,104,42,62
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",155,146,75,71,0,25,0,46,0,0,0,0,9,9,0
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",90,90,71,19,0,14,0,5,0,0,0,0,0,0,0
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",568,340,190,150,34,33,26,57,0,0,0,0,228,74,154
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",179,137,78,59,6,8,0,45,0,0,0,0,42,0,42
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",83,56,52,4,0,4,0,0,0,0,0,0,27,12,15
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",20,20,16,0,0,0,0,0,4,0,0,4,0,0,0
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",113,101,60,35,0,17,0,18,6,0,0,6,12,0,12
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",99,99,73,21,7,5,0,9,5,0,0,5,0,0,0
