GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15
Id,Id2,Geography,Total:,Native:,Native: - Born in state of residence,Native: - Born in other state in the United States:,Native: - Born in other state in the United States: - Northeast,Native: - Born in other state in the United States: - Midwest,Native: - Born in other state in the United States: - South,Native: - Born in other state in the United States: - West,Native: - Born outside the United States:,Native: - Born outside the United States: - Puerto Rico,Native: - Born outside the United States: - U.S. Island Areas,Native: - Born outside the United States: - Born abroad of American parent(s),Foreign born:,Foreign born: - Naturalized citizen,Foreign born: - Not a citizen
0500000US53033,53033,"King County, Washington",1273696,1195375,599063,581396,82079,181234,76519,241564,14916,314,467,14135,78321,34796,43525
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",3304,3005,1487,1491,217,406,231,637,27,0,15,12,299,142,157
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",5063,4665,2526,2072,279,565,306,922,67,0,0,67,398,174,224
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",1763,1653,849,784,96,251,81,356,20,0,0,20,110,46,64
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3287,3071,1529,1510,193,493,203,621,32,0,0,32,216,121,95
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",3579,3304,1770,1455,210,628,144,473,79,0,0,79,275,182,93
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2858,2678,1539,1126,226,314,159,427,13,0,0,13,180,164,16
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",4650,4348,2176,2126,339,728,301,758,46,0,0,46,302,196,106
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2736,2576,1188,1363,199,454,150,560,25,0,0,25,160,72,88
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1974,1850,940,872,136,355,111,270,38,0,0,38,124,94,30
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1841,1689,898,777,132,299,86,260,14,0,0,14,152,68,84
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1219,1161,579,566,53,232,90,191,16,0,7,9,58,18,40
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",1809,1703,810,878,132,301,78,367,15,0,0,15,106,64,42
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",3888,3502,1707,1772,205,625,185,757,23,0,0,23,386,171,215
