GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Native:,Margin of Error; Native:,Estimate; Native: - Born in state of residence,Margin of Error; Native: - Born in state of residence,Estimate; Native: - Born in other state in the United States:,Margin of Error; Native: - Born in other state in the United States:,Estimate; Native: - Born in other state in the United States: - Northeast,Margin of Error; Native: - Born in other state in the United States: - Northeast,Estimate; Native: - Born in other state in the United States: - Midwest,Margin of Error; Native: - Born in other state in the United States: - Midwest,Estimate; Native: - Born in other state in the United States: - South,Margin of Error; Native: - Born in other state in the United States: - South,Estimate; Native: - Born in other state in the United States: - West,Margin of Error; Native: - Born in other state in the United States: - West,Estimate; Native: - Born outside the United States:,Margin of Error; Native: - Born outside the United States:,Estimate; Native: - Born outside the United States: - Puerto Rico,Margin of Error; Native: - Born outside the United States: - Puerto Rico,Estimate; Native: - Born outside the United States: - U.S. Island Areas,Margin of Error; Native: - Born outside the United States: - U.S. Island Areas,Estimate; Native: - Born outside the United States: - Born abroad of American parent(s),Margin of Error; Native: - Born outside the United States: - Born abroad of American parent(s),Estimate; Foreign born:,Margin of Error; Foreign born:,Estimate; Foreign born: - Naturalized U.S. citizen,Margin of Error; Foreign born: - Naturalized U.S. citizen,Estimate; Foreign born: - Naturalized U.S. citizen - Europe,Margin of Error; Foreign born: - Naturalized U.S. citizen - Europe,Estimate; Foreign born: - Naturalized U.S. citizen - Asia,Margin of Error; Foreign born: - Naturalized U.S. citizen - Asia,Estimate; Foreign born: - Naturalized U.S. citizen - Africa,Margin of Error; Foreign born: - Naturalized U.S. citizen - Africa,Estimate; Foreign born: - Naturalized U.S. citizen - Oceania,Margin of Error; Foreign born: - Naturalized U.S. citizen - Oceania,Estimate; Foreign born: - Naturalized U.S. citizen - Latin America,Margin of Error; Foreign born: - Naturalized U.S. citizen - Latin America,Estimate; Foreign born: - Naturalized U.S. citizen - Northern America,Margin of Error; Foreign born: - Naturalized U.S. citizen - Northern America,Estimate; Foreign born: - Not a U.S. citizen,Margin of Error; Foreign born: - Not a U.S. citizen,Estimate; Foreign born: - Not a U.S. citizen - Europe,Margin of Error; Foreign born: - Not a U.S. citizen - Europe,Estimate; Foreign born: - Not a U.S. citizen - Asia,Margin of Error; Foreign born: - Not a U.S. citizen - Asia,Estimate; Foreign born: - Not a U.S. citizen - Africa,Margin of Error; Foreign born: - Not a U.S. citizen - Africa,Estimate; Foreign born: - Not a U.S. citizen - Oceania,Margin of Error; Foreign born: - Not a U.S. citizen - Oceania,Estimate; Foreign born: - Not a U.S. citizen - Latin America,Margin of Error; Foreign born: - Not a U.S. citizen - Latin America,Estimate; Foreign born: - Not a U.S. citizen - Northern America,Margin of Error; Foreign born: - Not a U.S. citizen - Northern America
0500000US53033,53033,"King County, Washington",2118119,*****,1650181,5003,854859,5752,755769,6146,107321,2994,187088,3098,132958,2746,328402,4365,39553,1581,1604,377,5392,699,32557,1463,467938,5003,223454,3196,37864,1501,133215,2089,21482,1138,2959,445,20250,954,7684,697,244484,4727,28702,1585,122066,2923,16354,1588,5017,691,62273,2130,10072,936
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",7963,529,5693,520,2758,424,2641,384,373,180,822,241,477,188,969,273,294,162,0,17,62,89,232,114,2270,610,1326,519,117,91,513,195,570,418,0,17,113,119,13,21,944,278,147,122,407,165,148,175,0,17,229,116,13,22
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7973,377,6009,515,2963,444,2857,375,364,140,796,188,556,194,1141,224,189,123,0,17,0,17,189,123,1964,448,959,244,207,109,540,196,115,101,12,21,20,31,65,54,1005,334,97,71,537,239,125,136,12,17,175,194,59,43
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2822,201,2527,247,1297,192,1105,168,163,83,311,110,123,53,508,109,125,103,0,12,7,12,118,103,295,108,191,106,22,24,121,91,22,26,14,20,0,12,12,20,104,70,12,17,39,31,38,60,0,12,15,23,0,12
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",6721,454,5202,493,2338,320,2606,433,213,122,740,229,395,202,1258,355,258,155,16,27,0,17,242,154,1519,324,946,229,87,77,507,181,194,110,0,17,158,100,0,17,573,252,24,38,307,230,146,107,0,17,55,97,41,46
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",5300,571,4740,505,2712,427,1952,303,315,130,570,166,333,149,734,243,76,70,0,17,0,17,76,70,560,198,255,111,61,48,106,68,29,34,6,11,32,44,21,25,305,193,15,21,105,97,0,17,0,17,185,141,0,17
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3052,165,2733,204,1487,175,1238,180,233,95,224,71,278,93,503,115,8,15,0,12,8,15,0,12,319,109,260,92,39,28,177,77,27,31,0,12,11,18,6,11,59,38,18,19,19,21,0,12,7,12,12,19,3,6
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",8061,565,6463,547,3201,447,3153,455,387,138,839,223,809,218,1118,303,109,63,0,17,0,17,109,63,1598,420,1136,330,235,182,609,245,117,102,0,17,160,90,15,27,462,210,16,26,147,105,61,60,0,17,170,160,68,55
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4854,344,3561,373,1661,326,1747,308,154,90,662,202,298,112,633,207,153,86,0,12,4,16,149,86,1293,325,496,160,62,50,226,144,134,66,0,12,74,59,0,12,797,276,116,153,328,187,180,71,0,12,153,150,20,33
