GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",1402793,3886,625954,4756,613534,4381,20223,1033,143082,3812
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",4617,509,1592,313,2124,351,57,52,844,468
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",5425,551,2087,368,2585,376,56,47,697,231
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2151,179,1059,159,925,169,94,104,73,48
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",4076,498,1653,322,1872,367,92,62,459,206
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4305,443,2511,425,1532,256,44,44,218,99
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2550,274,1301,205,1131,181,8,15,110,57
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",5211,548,2318,405,2418,401,53,51,422,208
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2889,326,1197,262,1361,297,0,12,331,211
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2109,144,1025,134,969,160,8,12,107,59
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1602,136,810,128,663,103,25,21,104,36
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1353,166,533,111,714,105,15,16,91,50
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2108,184,780,136,1155,222,57,36,116,57
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",4433,602,1686,318,1776,356,89,69,882,401
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",2786,272,1180,177,1381,212,38,51,187,96
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4231,425,2101,316,1818,355,65,51,247,197
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2310,190,1210,187,940,121,21,26,139,55
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",3906,250,1847,198,1710,185,95,57,254,105
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",2896,271,1155,207,1609,242,11,19,121,87
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",3827,347,1478,269,1903,287,101,70,345,177
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",3761,482,1819,394,1637,341,18,28,287,173
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",3607,268,1637,211,1714,178,30,23,226,86
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3208,206,1604,199,1383,177,37,33,184,90
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",3347,222,1604,238,1496,186,39,30,208,104
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",4640,374,2167,269,2210,314,24,29,239,122
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",2635,145,1287,170,1171,165,70,55,107,43
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",2802,188,1203,184,1348,147,73,40,178,74
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",4222,266,2105,238,1778,202,65,43,274,93
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",4687,388,2208,392,2108,247,63,49,308,171
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",4254,347,1672,249,2273,316,134,83,175,120
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",4205,289,1801,241,2130,214,64,50,210,73
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",4939,359,2259,344,2415,262,75,58,190,107
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",5970,268,2911,347,2789,323,93,64,177,108
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",7552,621,3425,536,3715,542,92,67,320,128
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",5908,364,2417,319,3246,351,70,60,175,97
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",3157,252,1207,178,1798,214,38,33,114,73
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",3501,269,1304,215,1859,216,81,45,257,105
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",5104,398,2135,297,2586,310,69,50,314,108
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",1734,160,859,129,749,106,17,13,109,61
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",2461,207,1093,169,1145,154,33,29,190,75
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",2262,290,1156,232,940,178,47,37,119,67
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",6568,423,2953,396,2991,501,128,81,496,203
