GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",130594,1928,48694,1837,44914,1904,1818,366,35168,1939
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",1159,329,407,216,229,115,40,57,483,331
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",345,246,57,87,47,58,0,17,241,212
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",146,85,41,49,57,49,0,12,48,62
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",918,398,250,182,292,165,71,96,305,180
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",179,163,47,73,132,105,0,17,0,17
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",40,37,0,12,22,25,0,12,18,27
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",825,274,257,152,404,157,0,17,164,141
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",637,212,197,199,106,77,31,50,303,115
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",80,75,22,26,43,50,0,12,15,24
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",22,23,0,12,22,23,0,12,0,12
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",269,180,90,63,80,62,0,12,99,122
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",8,13,0,12,8,13,0,12,0,12
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",433,292,147,134,50,60,71,89,165,126
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",173,136,27,59,52,41,14,21,80,77
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",40,46,0,17,40,46,0,17,0,17
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",42,35,11,18,31,29,0,12,0,12
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",264,136,74,84,126,89,31,42,33,43
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",73,63,27,32,28,38,0,12,18,35
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",34,52,0,17,17,28,0,17,17,25
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",112,62,11,17,26,36,0,12,75,51
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",4,7,0,12,0,12,2,6,2,4
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",15,23,0,12,15,23,0,12,0,12
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5,12,5,12,0,17,0,17,0,17
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",11,17,0,12,11,17,0,12,0,12
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",39,36,13,15,20,20,0,12,6,10
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",58,42,13,20,35,32,0,17,10,15
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",88,70,17,27,50,53,0,17,21,34
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",5,7,0,12,2,7,0,12,3,5
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",18,27,2,4,16,26,0,17,0,17
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",28,73,28,73,0,17,0,17,0,17
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",54,66,34,56,20,34,0,17,0,17
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",143,110,18,28,125,108,0,17,0,17
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",50,54,50,54,0,12,0,12,0,12
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",39,32,27,30,0,12,1,4,11,14
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",110,83,29,40,81,68,0,17,0,17
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",37,28,8,11,29,23,0,12,0,12
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",22,34,22,34,0,12,0,12,0,12
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",385,215,33,39,282,257,24,44,46,56
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",8,12,0,17,7,12,0,17,1,3
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",153,148,98,126,0,17,0,17,55,55
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",54,45,0,12,42,35,0,12,12,18
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",112,77,31,35,20,20,40,59,21,22
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",251,257,163,246,72,93,0,17,16,25
