GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",350616,2176,70980,1799,36295,1455,7018,686,236323,2305
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",1046,238,90,69,121,83,59,62,776,228
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",1306,430,264,149,87,66,0,17,955,371
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",314,86,97,77,49,31,8,13,160,82
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",1208,356,285,136,147,81,21,33,755,268
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",408,170,55,50,158,87,0,17,195,119
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",311,162,94,105,58,55,0,12,159,81
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",927,325,130,98,72,52,0,17,725,296
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",849,284,129,97,126,82,40,44,554,199
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",229,99,97,50,22,22,0,12,110,57
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",216,56,60,37,49,31,7,10,100,37
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",237,99,48,36,8,9,12,13,169,71
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",428,165,70,81,41,27,0,12,317,112
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",1254,333,329,181,171,137,75,106,679,265
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",1039,185,166,73,206,128,32,51,635,143
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",536,235,84,72,34,39,0,17,418,230
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",152,63,31,33,29,26,0,12,92,51
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",295,141,143,93,46,29,11,15,95,73
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",386,105,92,49,64,48,13,21,217,100
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",468,165,146,108,101,81,12,20,209,114
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",759,308,218,153,32,53,0,17,509,267
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",783,173,121,84,105,118,11,19,546,146
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",340,104,51,31,55,36,0,12,234,99
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",621,127,155,63,101,61,0,12,365,114
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",707,146,92,76,138,80,24,28,453,123
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",278,68,45,33,20,18,0,12,213,72
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",208,92,94,80,0,12,20,23,94,59
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",394,99,28,34,63,50,0,17,303,75
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",686,236,317,150,67,51,0,17,302,136
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",233,131,40,45,78,60,0,12,115,111
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",274,144,67,50,49,35,0,12,158,100
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",277,144,19,29,105,90,29,34,124,68
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",198,140,58,63,43,44,0,17,97,65
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",323,186,90,87,121,94,0,17,112,94
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",416,141,20,32,82,86,0,17,314,133
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",232,94,53,51,69,43,34,50,76,58
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",308,174,85,57,119,104,10,15,94,68
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",952,355,239,133,270,132,51,47,392,227
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",231,90,53,37,45,26,0,12,133,59
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",297,72,51,42,41,31,12,17,193,58
