GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",73630,3986,20346,1688,13694,1261,1020,298,38570,2540
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",327,240,173,166,0,17,0,17,154,91
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",254,258,237,255,16,26,0,17,1,3
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",0,17,0,17,0,17,0,17,0,17
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",78,78,0,17,0,17,0,17,78,78
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",608,329,202,156,63,86,56,28,287,207
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",181,114,43,68,14,23,19,31,105,73
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",11,12,7,10,4,6,0,12,0,12
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",6,9,0,12,6,9,0,12,0,12
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",99,95,16,28,32,48,0,12,51,78
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",313,291,107,126,88,103,0,17,118,125
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",180,99,38,26,58,39,0,12,84,42
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",110,107,86,85,15,24,0,17,9,15
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",0,12,0,12,0,12,0,12,0,12
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",12,16,0,12,9,14,0,12,3,8
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",66,69,31,38,0,12,0,12,35,54
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",86,80,23,35,48,71,0,12,15,24
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",184,186,0,17,94,107,66,86,24,32
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",18,19,0,12,9,14,0,12,9,15
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",62,47,29,33,33,32,0,12,0,12
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",111,62,5,11,47,43,0,12,59,59
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",36,58,19,31,0,17,0,17,17,27
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",47,52,15,16,10,15,0,12,22,34
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",24,37,13,20,11,17,0,12,0,12
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",101,133,74,107,15,24,0,17,12,20
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",134,151,11,18,32,38,0,17,91,144
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",21,34,0,12,21,34,0,12,0,12
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",82,56,82,56,0,12,0,12,0,12
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",285,222,56,81,0,17,0,17,229,216
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",0,17,0,17,0,17,0,17,0,17
