GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",129688,2639,76281,2378,37857,1597,5597,564,9953,1102
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",658,316,468,308,114,67,76,64,0,17
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",539,209,214,113,122,70,133,112,70,60
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",181,126,77,97,74,57,16,24,14,20
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",490,297,150,105,266,186,74,120,0,17
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",270,169,84,65,91,67,32,53,63,88
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",151,101,92,82,27,26,0,12,32,28
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",424,205,228,132,196,106,0,17,0,17
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",170,99,47,50,101,98,22,32,0,12
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",164,97,96,60,60,50,8,14,0,12
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",58,34,49,33,2,6,0,12,7,11
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",117,56,73,43,44,25,0,12,0,12
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",148,79,110,69,38,31,0,12,0,12
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",547,212,299,146,128,88,33,40,87,84
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",290,129,174,90,100,86,16,25,0,12
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",594,375,251,149,92,84,0,17,251,341
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",79,57,18,20,61,45,0,12,0,12
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",336,182,171,115,165,107,0,12,0,12
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",320,134,216,125,68,45,28,40,8,13
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",344,127,230,108,60,55,0,12,54,48
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",563,220,201,119,251,169,111,118,0,17
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",236,103,72,62,113,71,16,18,35,26
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",197,97,117,66,78,49,0,12,2,8
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",110,89,60,56,9,14,13,20,28,46
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",347,137,255,132,70,70,12,18,10,19
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",201,98,84,48,109,85,0,12,8,14
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",234,152,105,81,129,102,0,12,0,12
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",286,114,148,78,122,73,0,17,16,24
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",559,268,368,195,191,141,0,17,0,17
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",341,199,168,117,96,85,77,73,0,12
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",170,113,130,104,32,29,8,13,0,12
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",399,191,248,135,151,95,0,17,0,17
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",205,135,147,104,58,48,0,17,0,17
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",351,175,142,100,98,82,22,36,89,104
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",427,190,244,130,145,85,38,45,0,17
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",182,74,118,61,35,27,11,16,18,22
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",183,116,102,68,81,61,0,12,0,12
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",320,148,203,120,84,61,15,23,18,30
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",145,60,97,48,43,31,0,12,5,7
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",179,82,139,68,40,32,0,12,0,12
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",228,97,121,78,74,56,24,24,9,14
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",353,154,236,115,117,73,0,17,0,17
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",307,143,151,85,48,47,43,48,65,59
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",188,96,63,59,116,71,9,14,0,12
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",265,110,104,57,131,75,30,35,0,12
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",349,166,160,126,156,84,0,17,33,37
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",196,84,111,60,58,49,27,38,0,12
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",95,68,50,43,45,37,0,12,0,12
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",687,315,477,289,167,117,43,70,0,17
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",317,208,87,73,230,190,0,17,0,17
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",426,193,156,90,113,73,144,124,13,20
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",225,140,150,91,75,103,0,12,0,12
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",120,72,82,64,24,24,14,16,0,12
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",456,186,198,104,202,128,6,11,50,46
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",797,191,352,123,345,143,31,31,69,70
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",527,161,278,126,212,87,11,17,26,32
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",497,192,168,99,176,124,74,59,79,70
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",370,186,155,83,174,124,19,30,22,34
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",289,168,157,96,81,74,0,17,51,63
1400000US53033005801,53033005801,"Census Tract 58.01, King County, Washington",252,133,120,75,132,117,0,17,0,17
1400000US53033005802,53033005802,"Census Tract 58.02, King County, Washington",312,133,123,106,160,110,10,17,19,30
1400000US53033005900,53033005900,"Census Tract 59, King County, Washington",558,148,309,132,204,102,45,53,0,17
1400000US53033006000,53033006000,"Census Tract 60, King County, Washington",458,176,252,127,154,98,0,17,52,59
1400000US53033006100,53033006100,"Census Tract 61, King County, Washington",247,126,74,63,135,95,0,17,38,31
1400000US53033006200,53033006200,"Census Tract 62, King County, Washington",191,87,114,67,77,55,0,12,0,12
1400000US53033006300,53033006300,"Census Tract 63, King County, Washington",308,168,172,124,62,50,19,28,55,67
1400000US53033006400,53033006400,"Census Tract 64, King County, Washington",186,113,129,104,47,48,0,12,10,16
1400000US53033006500,53033006500,"Census Tract 65, King County, Washington",311,153,135,116,132,82,29,47,15,24
1400000US53033006600,53033006600,"Census Tract 66, King County, Washington",371,206,114,122,211,156,31,37,15,24
1400000US53033006700,53033006700,"Census Tract 67, King County, Washington",551,304,266,223,106,124,0,17,179,152
1400000US53033006800,53033006800,"Census Tract 68, King County, Washington",148,89,92,66,45,43,11,17,0,12
1400000US53033006900,53033006900,"Census Tract 69, King County, Washington",220,100,209,104,11,19,0,12,0,12
1400000US53033007000,53033007000,"Census Tract 70, King County, Washington",379,200,166,119,213,162,0,17,0,17
1400000US53033007100,53033007100,"Census Tract 71, King County, Washington",227,109,82,63,46,42,40,38,59,51
1400000US53033007200,53033007200,"Census Tract 72, King County, Washington",845,566,133,100,300,142,0,17,412,539
1400000US53033007300,53033007300,"Census Tract 73, King County, Washington",428,159,122,78,247,141,42,58,17,29
1400000US53033007401,53033007401,"Census Tract 74.01, King County, Washington",369,177,220,148,117,109,0,17,32,52
1400000US53033007402,53033007402,"Census Tract 74.02, King County, Washington",515,174,107,73,385,203,6,15,17,27
1400000US53033007500,53033007500,"Census Tract 75, King County, Washington",846,389,460,256,278,221,33,59,75,122
1400000US53033007600,53033007600,"Census Tract 76, King County, Washington",186,98,59,70,112,66,0,12,15,23
1400000US53033007700,53033007700,"Census Tract 77, King County, Washington",387,216,247,140,140,98,0,17,0,17
1400000US53033007800,53033007800,"Census Tract 78, King County, Washington",727,326,444,227,273,169,0,17,10,16
1400000US53033007900,53033007900,"Census Tract 79, King County, Washington",235,120,77,68,112,74,25,39,21,34
1400000US53033008001,53033008001,"Census Tract 80.01, King County, Washington",241,135,163,111,57,68,21,34,0,17
1400000US53033008002,53033008002,"Census Tract 80.02, King County, Washington",223,139,39,41,184,133,0,12,0,12
1400000US53033008100,53033008100,"Census Tract 81, King County, Washington",282,108,75,57,190,117,17,27,0,12
1400000US53033008200,53033008200,"Census Tract 82, King County, Washington",138,80,56,54,64,54,0,12,18,27
1400000US53033008300,53033008300,"Census Tract 83, King County, Washington",69,37,40,38,29,28,0,12,0,12
1400000US53033008400,53033008400,"Census Tract 84, King County, Washington",149,95,35,38,56,47,12,20,46,56
1400000US53033008500,53033008500,"Census Tract 85, King County, Washington",335,115,246,105,89,53,0,12,0,12
1400000US53033008600,53033008600,"Census Tract 86, King County, Washington",344,132,48,40,245,112,0,17,51,47
1400000US53033008700,53033008700,"Census Tract 87, King County, Washington",464,154,202,106,218,102,44,38,0,12
1400000US53033008800,53033008800,"Census Tract 88, King County, Washington",321,137,207,98,103,68,11,17,0,12
1400000US53033008900,53033008900,"Census Tract 89, King County, Washington",663,363,426,319,150,98,87,92,0,17
1400000US53033009000,53033009000,"Census Tract 90, King County, Washington",292,104,97,64,137,63,15,26,43,46
1400000US53033009100,53033009100,"Census Tract 91, King County, Washington",155,97,50,45,75,58,30,28,0,12
1400000US53033009200,53033009200,"Census Tract 92, King County, Washington",169,83,57,51,79,45,4,10,29,36
1400000US53033009300,53033009300,"Census Tract 93, King County, Washington",277,85,137,66,123,55,17,35,0,12
1400000US53033009400,53033009400,"Census Tract 94, King County, Washington",615,203,286,170,317,132,0,17,12,19
1400000US53033009500,53033009500,"Census Tract 95, King County, Washington",412,208,145,115,125,87,77,81,65,54
1400000US53033009600,53033009600,"Census Tract 96, King County, Washington",388,193,313,174,37,43,38,47,0,17
1400000US53033009701,53033009701,"Census Tract 97.01, King County, Washington",339,180,284,181,38,43,17,29,0,17
1400000US53033009702,53033009702,"Census Tract 97.02, King County, Washington",356,213,320,211,36,46,0,17,0,17
1400000US53033009800,53033009800,"Census Tract 98, King County, Washington",395,218,283,173,61,68,0,17,51,75
1400000US53033009900,53033009900,"Census Tract 99, King County, Washington",453,178,333,155,94,96,0,17,26,29
1400000US53033010001,53033010001,"Census Tract 100.01, King County, Washington",163,74,122,67,19,23,14,16,8,12
1400000US53033010002,53033010002,"Census Tract 100.02, King County, Washington",321,147,237,110,42,34,7,10,35,37
1400000US53033010100,53033010100,"Census Tract 101, King County, Washington",575,342,311,268,126,89,105,87,33,40
1400000US53033010200,53033010200,"Census Tract 102, King County, Washington",193,88,94,69,80,51,0,12,19,29
1400000US53033010300,53033010300,"Census Tract 103, King County, Washington",409,185,153,88,242,154,0,17,14,24
1400000US53033010401,53033010401,"Census Tract 104.01, King County, Washington",151,80,88,53,58,51,5,11,0,12
1400000US53033010402,53033010402,"Census Tract 104.02, King County, Washington",334,126,206,95,80,53,7,12,41,35
1400000US53033010500,53033010500,"Census Tract 105, King County, Washington",526,235,255,155,238,112,20,33,13,21
1400000US53033010600,53033010600,"Census Tract 106, King County, Washington",527,193,375,155,138,103,14,23,0,17
1400000US53033010701,53033010701,"Census Tract 107.01, King County, Washington",144,74,125,68,19,18,0,12,0,12
1400000US53033010702,53033010702,"Census Tract 107.02, King County, Washington",306,216,195,161,111,99,0,12,0,12
1400000US53033010800,53033010800,"Census Tract 108, King County, Washington",490,167,353,146,78,75,34,47,25,31
1400000US53033010900,53033010900,"Census Tract 109, King County, Washington",65,33,24,27,41,22,0,12,0,12
1400000US53033011001,53033011001,"Census Tract 110.01, King County, Washington",98,77,27,31,60,67,11,25,0,12
1400000US53033011002,53033011002,"Census Tract 110.02, King County, Washington",69,92,60,86,9,16,0,12,0,12
