GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",1300694,644,590665,4325,585311,4361,17629,908,107089,3085
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",4297,472,1557,305,1956,298,57,52,727,409
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",5043,531,2014,365,2488,367,56,47,485,220
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2080,186,1044,159,897,174,81,102,58,42
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",3593,468,1586,315,1727,326,76,57,204,111
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",4141,452,2495,418,1476,257,44,44,126,71
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",2447,277,1283,205,1069,186,8,15,87,43
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",5049,543,2304,405,2329,398,37,44,379,207
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",2559,374,1152,269,1218,293,0,12,189,162
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2109,144,1025,134,969,160,8,12,107,59
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1549,135,798,129,643,100,21,19,87,37
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1323,162,529,111,701,104,15,16,78,43
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2019,187,748,142,1118,223,57,36,96,53
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",4167,588,1598,306,1612,341,89,69,868,398
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",2487,254,1108,169,1236,207,12,19,131,75
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",4090,430,2057,324,1771,352,33,35,229,197
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2269,191,1195,190,914,116,21,26,139,55
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",3810,259,1816,200,1661,185,95,57,238,104
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",2794,273,1110,199,1552,246,11,19,121,87
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",3615,367,1478,269,1827,278,101,70,209,116
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",3620,468,1819,394,1509,310,18,28,274,169
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",3444,270,1576,214,1663,179,30,23,175,75
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3160,215,1604,199,1335,188,37,33,184,90
