GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Born in state of residence,Margin of Error; Total: - Born in state of residence,Estimate; Total: - Born in other state in the United States,Margin of Error; Total: - Born in other state in the United States,Estimate; Total: - Native; born outside the United States,Margin of Error; Total: - Native; born outside the United States,Estimate; Total: - Foreign born,Margin of Error; Total: - Foreign born
0500000US53033,53033,"King County, Washington",200545,*****,68282,1621,49742,1785,4488,567,78033,2101
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",917,374,407,299,168,162,9,22,333,149
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",605,321,295,256,97,84,0,17,213,197
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",145,76,15,25,102,71,13,20,15,23
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",532,184,93,83,157,114,16,27,266,166
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",314,186,16,26,84,71,0,17,214,139
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",103,77,18,29,62,38,0,12,23,26
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",840,333,216,158,222,125,72,36,330,206
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",452,265,88,86,157,110,0,12,207,159
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",1,3,1,3,0,12,0,12,0,12
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",72,44,26,27,25,20,4,6,17,14
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",79,55,37,31,29,21,0,12,13,19
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",200,114,47,49,82,60,0,12,71,80
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",703,364,291,208,252,124,0,17,160,131
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",512,97,110,65,236,91,26,47,140,51
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",164,90,58,56,47,45,32,36,27,32
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",50,36,15,23,35,29,0,12,0,12
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",134,86,42,40,73,66,0,12,19,21
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",234,110,88,56,103,59,0,12,43,56
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",298,195,23,35,124,112,0,12,151,133
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",469,439,0,17,370,358,66,86,33,35
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",202,132,78,64,64,60,0,12,60,54
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",115,74,40,39,75,58,0,12,0,12
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",206,86,49,35,77,51,0,12,80,61
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",240,140,104,86,42,57,0,17,94,78
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",82,81,40,49,10,15,0,12,32,38
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",106,72,25,27,46,37,20,22,15,18
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",240,148,114,109,78,53,0,17,48,40
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",323,223,92,119,113,106,0,17,118,149
