GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71
Id,Id2,Geography,Total:,Population of one race:,Population of one race: - White alone,Population of one race: - Black or African American alone,Population of one race: - American Indian and Alaska Native alone,Population of one race: - Asian alone,Population of one race: - Native Hawaiian and Other Pacific Islander alone,Population of one race: - Some other race alone,Population of two or more races:,Population of two or more races: - Population of two races:,Population of two or more races: - Population of two races: - White; Black or African American,Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Population of two or more races: - Population of two races: - White; Asian,Population of two or more races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - White; Some other race,Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Population of two or more races: - Population of two races: - Black or African American; Asian,Population of two or more races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - Black or African American; Some other race,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Asian,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - American Indian and Alaska Native; Some other race,Population of two or more races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of two races: - Asian; Some other race,Population of two or more races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races:,Population of two or more races: - Population of three races: - White; Black or African American; American Indian and Alaska Native,Population of two or more races: - Population of three races: - White; Black or African American; Asian,Population of two or more races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; Black or African American; Some other race,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Asian,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - White; Asian; Some other race,Population of two or more races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - Black or African American; Asian; Some other race,Population of two or more races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races:,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some other race,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; Black or African American; Asian; Some other race,Population of two or more races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races:,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some other race,Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of five races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander;  Some other race,Population of two or more races: - Population of five races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Population of two or more races: - Population of six races:,Population of two or more races: - Population of six races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
0500000US53033,53033,"King County, Washington",1737034,1666535,1315507,93875,15922,187745,9013,44473,70499,64314,9067,10553,17844,1693,10994,1576,1586,222,3258,966,126,430,2474,3192,333,5489,1660,459,75,382,597,75,223,1016,456,47,149,14,69,59,71,12,38,21,4,62,554,257,27,52,36,10,0,81,26,0,36,11,3,0,7,8,135,117,7,1,8,2,0,7,7
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",2547,2510,2453,6,14,13,0,24,37,36,1,15,2,0,17,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",1895,1856,1714,2,9,5,1,125,39,37,3,16,11,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",5883,5724,3258,7,27,20,0,2412,159,154,5,28,0,5,96,0,0,0,5,0,0,4,0,10,1,5,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",2625,2502,1440,15,33,26,0,988,123,121,1,18,6,2,79,0,2,0,1,0,0,1,2,5,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",3478,3385,1807,16,29,35,5,1493,93,90,3,6,4,0,73,0,0,0,1,0,0,1,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53003980100,53003980100,"Census Tract 9801, Asotin County, Washington",3769,3728,3671,3,38,7,1,8,41,39,6,24,3,0,4,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53003980200,53003980200,"Census Tract 9802, Asotin County, Washington",4387,4313,4226,1,33,32,1,20,74,63,2,26,15,0,18,1,0,0,0,0,0,1,0,0,0,11,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US53003980300,53003980300,"Census Tract 9803, Asotin County, Washington",3794,3727,3595,8,66,24,1,33,67,64,4,45,3,0,11,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
