GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Not Hispanic or Latino:,Margin of Error; Not Hispanic or Latino:,Estimate; Not Hispanic or Latino: - White alone,Margin of Error; Not Hispanic or Latino: - White alone,Estimate; Not Hispanic or Latino: - Black or African American alone,Margin of Error; Not Hispanic or Latino: - Black or African American alone,Estimate; Not Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Not Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Not Hispanic or Latino: - Asian alone,Margin of Error; Not Hispanic or Latino: - Asian alone,Estimate; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Not Hispanic or Latino: - Some other race alone,Margin of Error; Not Hispanic or Latino: - Some other race alone,Estimate; Not Hispanic or Latino: - Two or more races:,Margin of Error; Not Hispanic or Latino: - Two or more races:,Estimate; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Not Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races",Estimate; Hispanic or Latino:,Margin of Error; Hispanic or Latino:,Estimate; Hispanic or Latino: - White alone,Margin of Error; Hispanic or Latino: - White alone,Estimate; Hispanic or Latino: - Black or African American alone,Margin of Error; Hispanic or Latino: - Black or African American alone,Estimate; Hispanic or Latino: - American Indian and Alaska Native alone,Margin of Error; Hispanic or Latino: - American Indian and Alaska Native alone,Estimate; Hispanic or Latino: - Asian alone,Margin of Error; Hispanic or Latino: - Asian alone,Estimate; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone,Estimate; Hispanic or Latino: - Some other race alone,Margin of Error; Hispanic or Latino: - Some other race alone,Estimate; Hispanic or Latino: - Two or more races:,Margin of Error; Hispanic or Latino: - Two or more races:,Estimate; Hispanic or Latino: - Two or more races: - Two races including Some other race,Margin of Error; Hispanic or Latino: - Two or more races: - Two races including Some other race,"Estimate; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Hispanic or Latino: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",7963,529,7046,505,4297,472,1110,318,24,26,1046,238,91,127,0,17,478,183,15,25,463,180,917,374,320,188,49,79,41,63,0,17,0,17,327,240,180,280,49,69,131,213
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",7973,377,7368,457,5043,531,345,246,104,138,1306,430,0,17,31,51,539,209,20,33,519,213,605,321,382,261,0,17,0,17,0,17,0,17,223,256,0,17,0,17,0,17
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",2822,201,2677,186,2080,186,122,78,0,12,314,86,30,48,0,12,131,105,0,12,131,105,145,76,71,44,24,34,0,12,0,12,0,12,0,12,50,55,15,23,35,50
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",6721,454,6189,422,3593,468,918,398,29,46,1174,368,0,17,0,17,475,294,0,17,475,294,532,184,483,155,0,17,0,17,34,72,0,17,0,17,15,25,0,17,15,25
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",5300,571,4986,520,4141,452,179,163,15,26,336,120,45,44,0,17,270,169,0,17,270,169,314,186,164,90,0,17,0,17,72,118,0,17,78,78,0,17,0,17,0,17
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",3052,165,2949,175,2447,277,40,37,0,12,311,162,0,12,0,12,151,101,0,12,151,101,103,77,103,77,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",8061,565,7221,540,5049,543,825,274,66,68,927,325,0,17,0,17,354,192,0,17,354,192,840,333,162,109,0,17,0,17,0,17,0,17,608,329,70,67,54,57,16,28
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",4854,344,4402,378,2559,374,637,212,16,26,849,284,112,164,59,51,170,99,55,79,115,81,452,265,330,255,0,12,0,12,0,12,0,12,122,100,0,12,0,12,0,12
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",2582,177,2581,177,2109,144,80,75,0,12,229,99,0,12,0,12,163,96,0,12,163,96,1,3,0,12,0,12,0,12,0,12,0,12,0,12,1,3,0,12,1,3
1400000US53033000900,53033000900,"Census Tract 9, King County, Washington",1972,147,1900,148,1549,135,22,23,30,36,216,56,14,17,11,12,58,34,0,12,58,34,72,44,53,35,0,12,0,12,0,12,19,29,0,12,0,12,0,12,0,12
1400000US53033001000,53033001000,"Census Tract 10, King County, Washington",1982,141,1903,153,1323,162,254,180,0,12,237,99,0,12,6,9,83,41,0,12,83,41,79,55,30,34,15,15,0,12,0,12,0,12,0,12,34,38,9,12,25,36
1400000US53033001100,53033001100,"Census Tract 11, King County, Washington",2791,253,2591,245,2019,187,8,13,0,12,428,165,0,12,16,28,120,70,0,12,120,70,200,114,89,55,0,12,0,12,0,12,0,12,83,92,28,33,0,12,28,33
1400000US53033001200,53033001200,"Census Tract 12, King County, Washington",7024,461,6321,599,4167,588,433,292,0,17,1201,336,0,17,0,17,520,208,0,17,520,208,703,364,266,177,0,17,44,71,53,82,0,17,313,291,27,45,27,45,0,17
1400000US53033001300,53033001300,"Census Tract 13, King County, Washington",4468,263,3956,275,2487,254,159,132,0,12,1039,185,0,12,0,12,271,113,0,12,271,113,512,97,299,134,14,23,0,12,0,12,0,12,180,99,19,32,0,12,19,32
1400000US53033001400,53033001400,"Census Tract 14, King County, Washington",5550,472,5386,481,4090,430,40,46,39,42,536,235,0,17,87,103,594,375,0,17,594,375,164,90,141,88,0,17,0,17,0,17,0,17,23,28,0,17,0,17,0,17
1400000US53033001500,53033001500,"Census Tract 15, King County, Washington",2548,184,2498,181,2269,191,0,12,7,10,152,63,0,12,0,12,70,55,0,12,70,55,50,36,41,33,0,12,0,12,0,12,0,12,0,12,9,14,0,12,9,14
1400000US53033001600,53033001600,"Census Tract 16, King County, Washington",4603,252,4469,271,3810,259,42,35,12,13,295,141,0,12,9,14,301,177,0,12,301,177,134,86,96,75,0,12,0,12,0,12,0,12,3,8,35,43,0,12,35,43
1400000US53033001701,53033001701,"Census Tract 17.01, King County, Washington",4004,245,3770,255,2794,273,250,131,53,49,386,105,19,27,0,12,268,125,0,12,268,125,234,110,102,47,14,21,0,12,0,12,0,12,66,69,52,39,31,28,21,26
1400000US53033001702,53033001702,"Census Tract 17.02, King County, Washington",4832,329,4534,342,3615,367,73,63,34,52,468,165,0,12,0,12,344,127,0,12,344,127,298,195,212,179,0,12,0,12,0,12,0,12,86,80,0,12,0,12,0,12
1400000US53033001800,53033001800,"Census Tract 18, King County, Washington",5380,451,4911,314,3620,468,34,52,0,17,759,308,13,21,4,14,481,212,0,17,481,212,469,439,141,95,0,17,66,86,0,17,0,17,180,188,82,91,67,87,15,25
1400000US53033001900,53033001900,"Census Tract 19, King County, Washington",4777,272,4575,275,3444,270,112,62,8,12,783,173,13,30,0,12,215,102,12,18,203,101,202,132,163,127,0,12,0,12,0,12,0,12,18,19,21,22,17,20,4,10
1400000US53033002000,53033002000,"Census Tract 20, King County, Washington",3814,176,3699,182,3160,215,4,7,3,6,340,104,0,12,6,10,186,95,0,12,186,95,115,74,48,48,0,12,0,12,0,12,0,12,56,46,11,18,0,12,11,18
1400000US53033002100,53033002100,"Census Tract 21, King County, Washington",4210,214,4004,238,3244,225,15,23,0,12,621,127,0,12,14,23,110,89,0,12,110,89,206,86,103,70,0,12,6,11,0,12,0,12,97,58,0,12,0,12,0,12
1400000US53033002200,53033002200,"Census Tract 22, King County, Washington",5764,402,5524,380,4465,344,5,12,1,5,707,146,13,21,0,17,333,136,0,17,333,136,240,140,175,127,0,17,15,24,0,17,0,17,36,58,14,23,0,17,14,23
1400000US53033002400,53033002400,"Census Tract 24, King County, Washington",3180,136,3098,159,2585,159,11,17,0,12,278,68,8,12,15,16,201,98,0,12,201,98,82,81,50,63,0,12,0,12,0,12,0,12,32,50,0,12,0,12,0,12
1400000US53033002500,53033002500,"Census Tract 25, King County, Washington",3316,293,3210,309,2720,202,39,36,9,14,208,92,0,12,0,12,234,152,0,12,234,152,106,72,82,71,0,12,0,12,0,12,0,12,24,37,0,12,0,12,0,12
1400000US53033002600,53033002600,"Census Tract 26, King County, Washington",5061,293,4821,261,4093,256,58,42,0,17,394,99,0,17,24,28,252,106,0,17,252,106,240,148,129,76,0,17,0,17,0,17,0,17,77,129,34,34,11,17,23,29
1400000US53033002700,53033002700,"Census Tract 27, King County, Washington",6155,426,5832,488,4566,381,88,70,1,2,686,236,0,17,11,18,480,266,0,17,480,266,323,223,121,122,0,17,0,17,0,17,0,17,123,152,79,101,78,101,1,2
1400000US53033002800,53033002800,"Census Tract 28, King County, Washington",4854,315,4658,324,4130,355,5,7,0,12,223,130,0,12,0,12,300,195,0,12,300,195,196,108,124,101,0,12,0,12,10,17,0,12,21,34,41,51,0,12,41,51
1400000US53033002900,53033002900,"Census Tract 29, King County, Washington",4744,241,4533,234,4083,276,0,12,1,6,265,144,12,13,29,25,143,88,0,12,143,88,211,111,122,90,0,12,0,12,9,13,0,12,53,51,27,31,27,31,0,12
1400000US53033003000,53033003000,"Census Tract 30, King County, Washington",5940,365,5494,380,4778,365,18,27,0,17,277,144,22,35,0,17,399,191,0,17,399,191,446,248,161,101,0,17,0,17,0,17,0,17,285,222,0,17,0,17,0,17
1400000US53033003100,53033003100,"Census Tract 31, King County, Washington",6457,249,6107,303,5620,315,28,73,56,72,198,140,0,17,0,17,205,135,0,17,205,135,350,262,350,262,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
1400000US53033003200,53033003200,"Census Tract 32, King County, Washington",8504,684,7734,662,7027,588,54,66,33,52,323,186,0,17,0,17,297,159,0,17,297,159,770,441,525,404,0,17,0,17,0,17,0,17,191,128,54,85,0,17,54,85
1400000US53033003300,53033003300,"Census Tract 33, King County, Washington",6987,374,6658,377,5738,371,143,110,0,17,416,141,0,17,0,17,361,167,0,17,361,167,329,150,170,103,0,17,0,17,0,17,0,17,93,80,66,82,21,34,45,72
1400000US53033003400,53033003400,"Census Tract 34, King County, Washington",3661,246,3579,249,3102,248,50,54,17,26,232,94,0,12,23,37,155,73,12,19,143,72,82,49,55,38,0,12,0,12,0,12,0,12,0,12,27,31,9,14,18,27
1400000US53033003500,53033003500,"Census Tract 35, King County, Washington",4051,205,3947,202,3414,271,39,32,1,3,299,172,11,17,0,12,183,116,0,12,183,116,104,65,87,55,0,12,0,12,9,14,0,12,8,12,0,12,0,12,0,12
1400000US53033003600,53033003600,"Census Tract 36, King County, Washington",6631,417,6365,458,5025,408,92,75,0,17,952,355,0,17,14,22,282,124,18,30,264,121,266,136,79,62,18,28,0,17,0,17,0,17,131,113,38,62,0,17,38,62
1400000US53033003800,53033003800,"Census Tract 38, King County, Washington",2151,132,2106,135,1692,163,37,28,1,4,231,90,0,12,0,12,145,60,0,12,145,60,45,35,42,33,0,12,0,12,0,12,0,12,3,6,0,12,0,12,0,12
1400000US53033003900,53033003900,"Census Tract 39, King County, Washington",3034,216,2875,237,2336,235,22,34,35,52,297,72,0,12,6,9,179,82,0,12,179,82,159,109,125,97,0,12,12,17,0,12,0,12,22,24,0,12,0,12,0,12
1400000US53033004000,53033004000,"Census Tract 40, King County, Washington",3198,261,3111,254,2214,288,372,215,0,12,297,118,0,12,0,12,228,97,0,12,228,97,87,58,48,41,13,29,0,12,0,12,0,12,26,27,0,12,0,12,0,12
1400000US53033004100,53033004100,"Census Tract 41, King County, Washington",7920,444,7803,454,6477,437,8,12,0,17,974,300,16,29,0,17,328,151,0,17,328,151,117,89,91,85,0,17,0,17,0,17,0,17,1,3,25,36,0,17,25,36
1400000US53033004200,53033004200,"Census Tract 42, King County, Washington",8458,474,7998,442,6696,432,153,148,1,4,826,174,89,132,38,59,195,111,0,17,195,111,460,209,331,199,0,17,0,17,0,17,0,17,17,23,112,84,57,46,55,73
1400000US53033004301,53033004301,"Census Tract 43.01, King County, Washington",3644,260,3496,249,2591,213,54,45,0,12,561,221,0,12,102,118,188,96,0,12,188,96,148,90,96,75,0,12,0,12,0,12,0,12,52,50,0,12,0,12,0,12
1400000US53033004302,53033004302,"Census Tract 43.02, King County, Washington",3854,388,3744,382,2174,301,112,77,8,14,1200,295,0,12,0,12,250,104,9,15,241,101,110,53,37,30,0,12,0,12,15,18,0,12,43,36,15,17,15,17,0,12
1400000US53033004400,53033004400,"Census Tract 44, King County, Washington",7314,829,6752,820,5170,760,251,257,0,17,1082,263,0,17,0,17,249,130,15,24,234,127,562,256,273,142,0,17,0,17,0,17,0,17,189,201,100,100,22,37,78,95
1400000US53033004500,53033004500,"Census Tract 45, King County, Washington",3157,371,3066,376,2497,350,29,37,16,19,371,181,0,12,0,12,153,66,0,12,153,66,91,64,43,32,5,10,0,12,0,12,0,12,0,12,43,53,43,53,0,12
1400000US53033004600,53033004600,"Census Tract 46, King County, Washington",3674,191,3585,176,3268,188,58,57,0,12,179,73,0,12,0,12,80,63,0,12,80,63,89,62,68,57,0,12,6,11,0,12,0,12,0,12,15,25,15,25,0,12
1400000US53033004700,53033004700,"Census Tract 47, King County, Washington",8649,516,8330,537,6745,526,158,169,0,17,836,415,0,17,0,17,591,269,0,17,591,269,319,128,156,141,0,17,0,17,0,17,0,17,67,80,96,132,96,132,0,17
1400000US53033004800,53033004800,"Census Tract 48, King County, Washington",5136,346,5015,317,4300,313,38,59,16,26,329,129,0,17,15,25,317,208,0,17,317,208,121,101,51,41,0,17,11,18,0,17,0,17,59,93,0,17,0,17,0,17
1400000US53033004900,53033004900,"Census Tract 49, King County, Washington",7429,544,7202,543,6473,625,19,29,25,33,289,136,0,17,0,17,396,192,0,17,396,192,227,105,138,86,0,17,0,17,0,17,0,17,59,70,30,34,0,17,30,34
1400000US53033005000,53033005000,"Census Tract 50, King County, Washington",4194,363,3973,368,3335,393,62,77,14,24,308,123,29,44,0,12,225,140,0,12,225,140,221,175,221,175,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1400000US53033005100,53033005100,"Census Tract 51, King County, Washington",3678,243,3456,228,3041,230,29,35,5,8,222,64,0,12,39,53,120,72,0,12,120,72,222,151,124,85,0,12,0,12,0,12,0,12,98,119,0,12,0,12,0,12
1400000US53033005200,53033005200,"Census Tract 52, King County, Washington",7041,970,6800,966,3862,892,67,62,0,17,2355,513,19,46,69,87,428,175,14,22,414,169,241,135,213,131,0,17,0,17,0,17,0,17,0,17,28,45,0,17,28,45
1400000US53033005301,53033005301,"Census Tract 53.01, King County, Washington",7792,788,7479,794,3726,773,200,93,184,152,2560,370,30,28,37,46,742,179,68,72,674,171,313,107,155,74,0,17,0,17,4,8,0,17,99,62,55,33,21,27,34,32
1400000US53033005302,53033005302,"Census Tract 53.02, King County, Washington",4717,915,4346,819,2099,343,92,72,16,21,1667,511,27,33,0,12,445,147,15,20,430,144,371,139,157,120,8,15,0,12,7,15,0,12,117,69,82,55,32,26,50,48
1400000US53033005400,53033005400,"Census Tract 54, King County, Washington",5683,386,5551,381,4486,408,76,85,0,17,492,176,0,17,0,17,497,192,0,17,497,192,132,92,117,89,0,17,0,17,0,17,0,17,15,25,0,17,0,17,0,17
1400000US53033005600,53033005600,"Census Tract 56, King County, Washington",6875,349,6597,333,5780,299,17,25,0,17,332,109,70,115,28,32,370,186,0,17,370,186,278,144,196,125,0,17,37,41,0,17,0,17,45,73,0,17,0,17,0,17
1400000US53033005700,53033005700,"Census Tract 57, King County, Washington",6816,366,6434,395,5489,448,85,86,22,35,636,151,0,17,15,23,187,113,0,17,187,113,382,181,185,107,18,26,21,33,19,30,0,17,37,43,102,110,61,103,41,46
